gene	Sample_ID	compendium_version	rollup_cohort
CSAG2	TH34_1163_S01	v7	lowstringency_pd_outliers
CSAG3	TH34_1163_S01	v7	lowstringency_pd_outliers
CUL4A	TH34_1163_S01	v7	lowstringency_pd_outliers
CXCL8	TH34_1163_S01	v7	lowstringency_pd_outliers
DIDO1	TH34_1163_S01	v7	lowstringency_pd_outliers
DNAJB11	TH34_1163_S01	v7	lowstringency_pd_outliers
EDNRA	TH34_1163_S01	v7	lowstringency_pd_outliers
ERCC5	TH34_1163_S01	v7	lowstringency_pd_outliers
ESD	TH34_1163_S01	v7	lowstringency_pd_outliers
F3	TH34_1163_S01	v7	lowstringency_pd_outliers
FABP7	TH34_1163_S01	v7	lowstringency_pd_outliers
FAR2P1	TH34_1163_S01	v7	lowstringency_pd_outliers
FKBP5	TH34_1163_S01	v7	lowstringency_pd_outliers
FMO1	TH34_1163_S01	v7	lowstringency_pd_outliers
FP236383.7	TH34_1163_S01	v7	lowstringency_pd_outliers
FP236383.8	TH34_1163_S01	v7	lowstringency_pd_outliers
FP671120.2	TH34_1163_S01	v7	lowstringency_pd_outliers
FRG1	TH34_1163_S01	v7	lowstringency_pd_outliers
FTH1	TH34_1163_S01	v7	lowstringency_pd_outliers
GTF2F2	TH34_1163_S01	v7	lowstringency_pd_outliers
GTSF1	TH34_1163_S01	v7	lowstringency_pd_outliers
HMOX1	TH34_1163_S01	v7	lowstringency_pd_outliers
IFNGR2	TH34_1163_S01	v7	lowstringency_pd_outliers
ING1	TH34_1163_S01	v7	lowstringency_pd_outliers
JPX_1	TH34_1163_S01	v7	lowstringency_pd_outliers
KCNE4	TH34_1163_S01	v7	lowstringency_pd_outliers
KDM3A	TH34_1163_S01	v7	lowstringency_pd_outliers
LDHA	TH34_1163_S01	v7	lowstringency_pd_outliers
LONRF1	TH34_1163_S01	v7	lowstringency_pd_outliers
MED4	TH34_1163_S01	v7	lowstringency_pd_outliers
MIR210HG	TH34_1163_S01	v7	lowstringency_pd_outliers
MME	TH34_1163_S01	v7	lowstringency_pd_outliers
MMP9	TH34_1163_S01	v7	lowstringency_pd_outliers
MRPS22	TH34_1163_S01	v7	lowstringency_pd_outliers
MRPS31	TH34_1163_S01	v7	lowstringency_pd_outliers
MRPS35	TH34_1163_S01	v7	lowstringency_pd_outliers
MT-RNR1	TH34_1163_S01	v7	lowstringency_pd_outliers
MT1E	TH34_1163_S01	v7	lowstringency_pd_outliers
MTA3	TH34_1163_S01	v7	lowstringency_pd_outliers
MTIF3	TH34_1163_S01	v7	lowstringency_pd_outliers
MYF5	TH34_1163_S01	v7	lowstringency_pd_outliers
MYH7B	TH34_1163_S01	v7	lowstringency_pd_outliers
NAMPT	TH34_1163_S01	v7	lowstringency_pd_outliers
NDRG1	TH34_1163_S01	v7	lowstringency_pd_outliers
NECAP1	TH34_1163_S01	v7	lowstringency_pd_outliers
NHLRC3	TH34_1163_S01	v7	lowstringency_pd_outliers
NID2	TH34_1163_S01	v7	lowstringency_pd_outliers
NIFK	TH34_1163_S01	v7	lowstringency_pd_outliers
NOB1	TH34_1163_S01	v7	lowstringency_pd_outliers
OSER1	TH34_1163_S01	v7	lowstringency_pd_outliers
PCID2	TH34_1163_S01	v7	lowstringency_pd_outliers
PDGFRA	TH34_1163_S01	v7	lowstringency_pd_outliers
PDK4	TH34_1163_S01	v7	lowstringency_pd_outliers
PDS5B	TH34_1163_S01	v7	lowstringency_pd_outliers
PGA3	TH34_1163_S01	v7	lowstringency_pd_outliers
PGA4	TH34_1163_S01	v7	lowstringency_pd_outliers
PGA5	TH34_1163_S01	v7	lowstringency_pd_outliers
PLIN2	TH34_1163_S01	v7	lowstringency_pd_outliers
POMP	TH34_1163_S01	v7	lowstringency_pd_outliers
POP4	TH34_1163_S01	v7	lowstringency_pd_outliers
