gene	Sample_ID	compendium_version	rollup_cohort
PCDH8	TH34_1150_S02	v8	pancancer
PCF11	TH34_1150_S02	v8	pancancer
PCMTD2	TH34_1150_S02	v8	pancancer
PCSK1	TH34_1150_S02	v8	pancancer
PCSK2	TH34_1150_S02	v8	pancancer
PDCD1	TH34_1150_S02	v8	pancancer
PDS5B	TH34_1150_S02	v8	pancancer
PENK	TH34_1150_S02	v8	pancancer
PGAP1	TH34_1150_S02	v8	pancancer
PHF21A	TH34_1150_S02	v8	pancancer
PHKA2	TH34_1150_S02	v8	pancancer
PKP1	TH34_1150_S02	v8	pancancer
PLCXD1	TH34_1150_S02	v8	pancancer
PLEKHH2	TH34_1150_S02	v8	pancancer
PNISR	TH34_1150_S02	v8	pancancer
PNN	TH34_1150_S02	v8	pancancer
POU3F1	TH34_1150_S02	v8	pancancer
POU3F2	TH34_1150_S02	v8	pancancer
POU4F2	TH34_1150_S02	v8	pancancer
PPAPDC2	TH34_1150_S02	v8	pancancer
PPFIA1	TH34_1150_S02	v8	pancancer
PPFIA3	TH34_1150_S02	v8	pancancer
PPP2R2A	TH34_1150_S02	v8	pancancer
PPWD1	TH34_1150_S02	v8	pancancer
PRDM2	TH34_1150_S02	v8	pancancer
PRKCB	TH34_1150_S02	v8	pancancer
PROX1	TH34_1150_S02	v8	pancancer
PRPF39	TH34_1150_S02	v8	pancancer
PRPH	TH34_1150_S02	v8	pancancer
PRRT2	TH34_1150_S02	v8	pancancer
PRSS35	TH34_1150_S02	v8	pancancer
PSD	TH34_1150_S02	v8	pancancer
PSMA3-AS1	TH34_1150_S02	v8	pancancer
PTPRR	TH34_1150_S02	v8	pancancer
R3HDM2	TH34_1150_S02	v8	pancancer
RABGAP1	TH34_1150_S02	v8	pancancer
RASGEF1B	TH34_1150_S02	v8	pancancer
RBBP6	TH34_1150_S02	v8	pancancer
RBFOX2	TH34_1150_S02	v8	pancancer
RBM11	TH34_1150_S02	v8	pancancer
RBM25	TH34_1150_S02	v8	pancancer
RBM5	TH34_1150_S02	v8	pancancer
RBMX	TH34_1150_S02	v8	pancancer
RERGL	TH34_1150_S02	v8	pancancer
RFX5	TH34_1150_S02	v8	pancancer
RNF141	TH34_1150_S02	v8	pancancer
RNPC3	TH34_1150_S02	v8	pancancer
RP11-1415C14.3	TH34_1150_S02	v8	pancancer
RP11-156P1.3	TH34_1150_S02	v8	pancancer
RP11-347E10.1	TH34_1150_S02	v8	pancancer
RP11-575L7.8	TH34_1150_S02	v8	pancancer
RP11-673C5.1	TH34_1150_S02	v8	pancancer
RP11-706O15.5	TH34_1150_S02	v8	pancancer
RP11-734K23.9	TH34_1150_S02	v8	pancancer
RP11-98J23.2	TH34_1150_S02	v8	pancancer
RP5-984P4.6	TH34_1150_S02	v8	pancancer
SAMD14	TH34_1150_S02	v8	pancancer
SCG2	TH34_1150_S02	v8	pancancer
SCN1A	TH34_1150_S02	v8	pancancer
SCN3A	TH34_1150_S02	v8	pancancer
SCN9A	TH34_1150_S02	v8	pancancer
SFPQ	TH34_1150_S02	v8	pancancer
SFTPA1	TH34_1150_S02	v8	pancancer
SFTPA2	TH34_1150_S02	v8	pancancer
SFTPB	TH34_1150_S02	v8	pancancer
SFTPC	TH34_1150_S02	v8	pancancer
SHANK1	TH34_1150_S02	v8	pancancer
SIAH3	TH34_1150_S02	v8	pancancer
SIM2	TH34_1150_S02	v8	pancancer
SLC38A4	TH34_1150_S02	v8	pancancer
SLC6A15	TH34_1150_S02	v8	pancancer
SNHG1	TH34_1150_S02	v8	pancancer
SNRPGP4	TH34_1150_S02	v8	pancancer
SOX6	TH34_1150_S02	v8	pancancer
SRSF1	TH34_1150_S02	v8	pancancer
SRSF11	TH34_1150_S02	v8	pancancer
SSH1	TH34_1150_S02	v8	pancancer
ST3GAL3	TH34_1150_S02	v8	pancancer
STAG3L1	TH34_1150_S02	v8	pancancer
STAG3L2	TH34_1150_S02	v8	pancancer
STAG3L3	TH34_1150_S02	v8	pancancer
STARD13	TH34_1150_S02	v8	pancancer
STEAP2	TH34_1150_S02	v8	pancancer
STMN4	TH34_1150_S02	v8	pancancer
STON1	TH34_1150_S02	v8	pancancer
STRADA	TH34_1150_S02	v8	pancancer
STRBP	TH34_1150_S02	v8	pancancer
STX16	TH34_1150_S02	v8	pancancer
SUN1	TH34_1150_S02	v8	pancancer
SVIL-AS1	TH34_1150_S02	v8	pancancer
SYT4	TH34_1150_S02	v8	pancancer
TBC1D4	TH34_1150_S02	v8	pancancer
TBKBP1	TH34_1150_S02	v8	pancancer
TCERG1	TH34_1150_S02	v8	pancancer
TCERG1L	TH34_1150_S02	v8	pancancer
TCTEX1D1	TH34_1150_S02	v8	pancancer
TDRD3	TH34_1150_S02	v8	pancancer
THOC1	TH34_1150_S02	v8	pancancer
TIA1	TH34_1150_S02	v8	pancancer
TMEM161B-AS1	TH34_1150_S02	v8	pancancer
TMEM229A	TH34_1150_S02	v8	pancancer
TMEM38A	TH34_1150_S02	v8	pancancer
TMEM47	TH34_1150_S02	v8	pancancer
TMEM59L	TH34_1150_S02	v8	pancancer
TNRC6A	TH34_1150_S02	v8	pancancer
TOX2	TH34_1150_S02	v8	pancancer
TRIM52	TH34_1150_S02	v8	pancancer
TRIM69	TH34_1150_S02	v8	pancancer
TRPM4	TH34_1150_S02	v8	pancancer
TSPYL2	TH34_1150_S02	v8	pancancer
TTC14	TH34_1150_S02	v8	pancancer
TTC21B	TH34_1150_S02	v8	pancancer
TTLL3	TH34_1150_S02	v8	pancancer
TTN-AS1	TH34_1150_S02	v8	pancancer
UBE2G2	TH34_1150_S02	v8	pancancer
USPL1	TH34_1150_S02	v8	pancancer
VAMP1	TH34_1150_S02	v8	pancancer
VAX1	TH34_1150_S02	v8	pancancer
WASF1	TH34_1150_S02	v8	pancancer
WBSCR17	TH34_1150_S02	v8	pancancer
WDR70	TH34_1150_S02	v8	pancancer
WDR73	TH34_1150_S02	v8	pancancer
WSB1	TH34_1150_S02	v8	pancancer
XAGE1A	TH34_1150_S02	v8	pancancer
XAGE1B	TH34_1150_S02	v8	pancancer
ZBED5	TH34_1150_S02	v8	pancancer
ZBTB1	TH34_1150_S02	v8	pancancer
ZBTB43	TH34_1150_S02	v8	pancancer
ZC3H13	TH34_1150_S02	v8	pancancer
ZDHHC17	TH34_1150_S02	v8	pancancer
ZDHHC21	TH34_1150_S02	v8	pancancer
ZDHHC3	TH34_1150_S02	v8	pancancer
ZFAS1	TH34_1150_S02	v8	pancancer
ZFC3H1	TH34_1150_S02	v8	pancancer
ZFP62	TH34_1150_S02	v8	pancancer
ZNF276	TH34_1150_S02	v8	pancancer
ZNF300P1	TH34_1150_S02	v8	pancancer
ZNF397	TH34_1150_S02	v8	pancancer
ZNF514	TH34_1150_S02	v8	pancancer
ZNF558	TH34_1150_S02	v8	pancancer
ZNF581	TH34_1150_S02	v8	pancancer
ZNF704	TH34_1150_S02	v8	pancancer
ZNF83	TH34_1150_S02	v8	pancancer
ZNF84	TH34_1150_S02	v8	pancancer
ZRANB2	TH34_1150_S02	v8	pancancer
ABHD6	TH34_1162_S01	v7	pancancer
ACACB	TH34_1162_S01	v7	pancancer
ACTN2	TH34_1162_S01	v7	pancancer
ADAMTS10	TH34_1162_S01	v7	pancancer
ADGRG2	TH34_1162_S01	v7	pancancer
ALG9	TH34_1162_S01	v7	pancancer
AP4B1	TH34_1162_S01	v7	pancancer
ARHGAP17	TH34_1162_S01	v7	pancancer
ARTN	TH34_1162_S01	v7	pancancer
ASGR1	TH34_1162_S01	v7	pancancer
ATG16L2	TH34_1162_S01	v7	pancancer
C1orf61	TH34_1162_S01	v7	pancancer
CCDC171	TH34_1162_S01	v7	pancancer
CCK	TH34_1162_S01	v7	pancancer
CDH23	TH34_1162_S01	v7	pancancer
CDH24	TH34_1162_S01	v7	pancancer
CEACAM21	TH34_1162_S01	v7	pancancer
CHKB	TH34_1162_S01	v7	pancancer
CLEC11A	TH34_1162_S01	v7	pancancer
COG7	TH34_1162_S01	v7	pancancer
CSAD	TH34_1162_S01	v7	pancancer
CTC-575D19.1	TH34_1162_S01	v7	pancancer
CYP26B1	TH34_1162_S01	v7	pancancer
CYP4F22	TH34_1162_S01	v7	pancancer
DAPK1	TH34_1162_S01	v7	pancancer
DCHS2	TH34_1162_S01	v7	pancancer
DLG2	TH34_1162_S01	v7	pancancer
DUOX2	TH34_1162_S01	v7	pancancer
DUOXA2	TH34_1162_S01	v7	pancancer
EGFLAM	TH34_1162_S01	v7	pancancer
FAM118A	TH34_1162_S01	v7	pancancer
FAM156B	TH34_1162_S01	v7	pancancer
FAM65C	TH34_1162_S01	v7	pancancer
FCGRT	TH34_1162_S01	v7	pancancer
FEZF1-AS1	TH34_1162_S01	v7	pancancer
FLRT2	TH34_1162_S01	v7	pancancer
FREM1	TH34_1162_S01	v7	pancancer
FTL	TH34_1162_S01	v7	pancancer
GLCE	TH34_1162_S01	v7	pancancer
GLG1	TH34_1162_S01	v7	pancancer
GP1BB	TH34_1162_S01	v7	pancancer
GRP	TH34_1162_S01	v7	pancancer
GYG2	TH34_1162_S01	v7	pancancer
HAP1	TH34_1162_S01	v7	pancancer
HMCN1	TH34_1162_S01	v7	pancancer
HMOX1	TH34_1162_S01	v7	pancancer
HOXD10	TH34_1162_S01	v7	pancancer
HOXD11	TH34_1162_S01	v7	pancancer
HOXD9	TH34_1162_S01	v7	pancancer
IL24	TH34_1162_S01	v7	pancancer
ITM2A	TH34_1162_S01	v7	pancancer
JAK1	TH34_1162_S01	v7	pancancer
KCNE3	TH34_1162_S01	v7	pancancer
KDSR	TH34_1162_S01	v7	pancancer
KIAA1456	TH34_1162_S01	v7	pancancer
KMO	TH34_1162_S01	v7	pancancer
LGMN	TH34_1162_S01	v7	pancancer
LIPI	TH34_1162_S01	v7	pancancer
LL21NC02-1C16.2	TH34_1162_S01	v7	pancancer
LONRF1	TH34_1162_S01	v7	pancancer
LOXHD1	TH34_1162_S01	v7	pancancer
MIER2	TH34_1162_S01	v7	pancancer
MXD3	TH34_1162_S01	v7	pancancer
NAIP	TH34_1162_S01	v7	pancancer
NKX2-2	TH34_1162_S01	v7	pancancer
NPW	TH34_1162_S01	v7	pancancer
NPY	TH34_1162_S01	v7	pancancer
NR0B1	TH34_1162_S01	v7	pancancer
NRD1	TH34_1162_S01	v7	pancancer
ODF2L	TH34_1162_S01	v7	pancancer
PADI2	TH34_1162_S01	v7	pancancer
PAX7	TH34_1162_S01	v7	pancancer
PHKA2	TH34_1162_S01	v7	pancancer
PPP1R1A	TH34_1162_S01	v7	pancancer
PRKCB	TH34_1162_S01	v7	pancancer
PRND	TH34_1162_S01	v7	pancancer
PRRT4	TH34_1162_S01	v7	pancancer
PRSS35	TH34_1162_S01	v7	pancancer
RASAL3	TH34_1162_S01	v7	pancancer
RBM11	TH34_1162_S01	v7	pancancer
RCN3	TH34_1162_S01	v7	pancancer
RP11-343H5.4	TH34_1162_S01	v7	pancancer
RP11-734K23.9	TH34_1162_S01	v7	pancancer
RP4-765C7.2	TH34_1162_S01	v7	pancancer
SCG2	TH34_1162_S01	v7	pancancer
SCNN1G	TH34_1162_S01	v7	pancancer
SDCCAG3	TH34_1162_S01	v7	pancancer
SHANK1	TH34_1162_S01	v7	pancancer
SIGLEC1	TH34_1162_S01	v7	pancancer
SIM2	TH34_1162_S01	v7	pancancer
SLC17A8	TH34_1162_S01	v7	pancancer
SLC38A4	TH34_1162_S01	v7	pancancer
SNX18	TH34_1162_S01	v7	pancancer
SRSF6	TH34_1162_S01	v7	pancancer
STAB1	TH34_1162_S01	v7	pancancer
SYNPR	TH34_1162_S01	v7	pancancer
TAF6L	TH34_1162_S01	v7	pancancer
TIAL1	TH34_1162_S01	v7	pancancer
TMEM100	TH34_1162_S01	v7	pancancer
TMEM91	TH34_1162_S01	v7	pancancer
TNFAIP6	TH34_1162_S01	v7	pancancer
TOX2	TH34_1162_S01	v7	pancancer
TRAV1-2	TH34_1162_S01	v7	pancancer
UGT3A2	TH34_1162_S01	v7	pancancer
WBSCR17	TH34_1162_S01	v7	pancancer
XAGE1A	TH34_1162_S01	v7	pancancer
XAGE1B	TH34_1162_S01	v7	pancancer
XG	TH34_1162_S01	v7	pancancer
ZDHHC3	TH34_1162_S01	v7	pancancer
ZNF276	TH34_1162_S01	v7	pancancer
AC005062.2	TH34_1163_S01	v7	pancancer
AC132217.4	TH34_1163_S01	v7	pancancer
ACTA1	TH34_1163_S01	v7	pancancer
ACTC1	TH34_1163_S01	v7	pancancer
ACTN2	TH34_1163_S01	v7	pancancer
ADH1C	TH34_1163_S01	v7	pancancer
ANKRD10	TH34_1163_S01	v7	pancancer
AP001065.15	TH34_1163_S01	v7	pancancer
ARGLU1	TH34_1163_S01	v7	pancancer
CAPN6	TH34_1163_S01	v7	pancancer
CASQ2	TH34_1163_S01	v7	pancancer
CDC16	TH34_1163_S01	v7	pancancer
CDH15	TH34_1163_S01	v7	pancancer
CDK8	TH34_1163_S01	v7	pancancer
CDON	TH34_1163_S01	v7	pancancer
CENPJ	TH34_1163_S01	v7	pancancer
CHRNA1	TH34_1163_S01	v7	pancancer
CHRND	TH34_1163_S01	v7	pancancer
COL26A1	TH34_1163_S01	v7	pancancer
CRABP1	TH34_1163_S01	v7	pancancer
CSAG1	TH34_1163_S01	v7	pancancer
CSAG2	TH34_1163_S01	v7	pancancer
CSAG3	TH34_1163_S01	v7	pancancer
CSTF3	TH34_1163_S01	v7	pancancer
CTD-2545M3.8	TH34_1163_S01	v7	pancancer
CUL4A	TH34_1163_S01	v7	pancancer
