sample_id	gene	pc_up	pd_up	druggable	has_pathway_support
TH34_1149_S02	SFTPD	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	SOCS6	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	SOX17	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	SPTBN4	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	TARBP1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	TENM2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	TLR8-AS1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	TMSB4XP4	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	TNNI3	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	USP1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	WSCD2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	ZDHHC19	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ABCA5	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ABHD6	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ACIN1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ACTN2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ADAM33	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	ADAMTS10	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ADGRG2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ADRA1D	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	AHI1	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	AHSA2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	AK3	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	AL442127.1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	AMER2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	AP4B1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ARHGAP17	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ARL17A	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	ARPP21	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ARTN	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ARX	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ASXL1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ATAT1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	BCL11B	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	BMI1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	BRD8	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	BRPF3	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	BTAF1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	C1QL2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	C3orf17	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CACNA2D1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CACNB2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CALCA	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CALCB	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CAMK1G	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CAPRIN1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CBFA2T2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CCDC14	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CCDC171	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CCDC90B	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CCER2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CD99	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CD99P1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CDC37L1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CDC40	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CDK13	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CEP57	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CEP95	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CES4A	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CHD3	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CHD9	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CHN2	TRUE	FALSE	FALSE	FALSE
