Sample_ID	comparison_cohort	gene	pathway_support	donor_ID	high_level_cohort	log2TPM1
TH34_1380_S01	TCGA	IGF2	FALSE	TH34_1380	TCGA	10.118837
TH34_1380_S01	TCGA	NOTCH3	TRUE	TH34_1380	TCGA	9.85655
TH34_1380_S01	TH03_TH34	NOTCH3	TRUE	TH34_1380	TH03_TH34	9.85655
TH34_1381_S01	TCGA	HSP90B1	TRUE	TH34_1381	TCGA	10.749484
TH34_1381_S01	TH03_TH34	HSP90B1	TRUE	TH34_1381	TH03_TH34	10.749484
TH34_1381_S01	TCGA	IGF2	TRUE	TH34_1381	TCGA	9.685783
TH34_1381_S01	TCGA	TSC2	TRUE	TH34_1381	TCGA	6.985728
TH34_1381_S01	TCGA	VEGFA	TRUE	TH34_1381	TCGA	11.031426
TH34_1381_S01	TH03_TH34	VEGFA	TRUE	TH34_1381	TH03_TH34	11.031426
TH34_1150_S02	TCGA	CCND1	TRUE	TH34_1150	TCGA	10.260026
TH34_1150_S02	TH03_TH34	CCND1	TRUE	TH34_1150	TH03_TH34	10.260026
TH34_1399_S01	TCGA	IGF2	TRUE	TH34_1399	TCGA	10.800989
TH34_1412_S01	TCGA	IGF2	TRUE	TH34_1412	TCGA	11.87254
TH34_1412_S01	TCGA	KDR	TRUE	TH34_1412	TCGA	7.596264
TH34_1412_S01	TH03_TH34	KDR	TRUE	TH34_1412	TH03_TH34	7.596264
TH34_1412_S01	TCGA	NTRK3	TRUE	TH34_1412	TCGA	5.633722
TH34_1414_S01	TCGA	CDK4	TRUE	TH34_1414	TCGA	9.38351
TH34_1414_S01	TH03_TH34	CDK4	TRUE	TH34_1414	TH03_TH34	9.38351
TH34_1414_S01	TCGA	IGF2	TRUE	TH34_1414	TCGA	10.476746
TH34_1414_S01	TCGA	STAT2	FALSE	TH34_1414	TCGA	9.01064
TH34_1414_S01	TH03_TH34	STAT2	FALSE	TH34_1414	TH03_TH34	9.01064
TH34_1415_S01	TCGA	FLT4	FALSE	TH34_1415	TCGA	6.644289
TH34_1415_S01	TH03_TH34	FLT4	FALSE	TH34_1415	TH03_TH34	6.644289
TH34_1444_S01	TCGA	TSC2	TRUE	TH34_1444	TCGA	8.440329
TH34_1444_S01	TH03_TH34	TSC2	TRUE	TH34_1444	TH03_TH34	8.440329
TH34_1445_S02	TCGA	ETV1	FALSE	TH34_1445	TCGA	6.912291
TH34_1445_S02	TCGA	IGF2	TRUE	TH34_1445	TCGA	9.835735
TH34_1445_S02	TCGA	NTRK3	FALSE	TH34_1445	TCGA	6.067596
TH34_1445_S02	TH03_TH34	NTRK3	TRUE	TH34_1445	TH03_TH34	6.067596
TH34_1445_S02	TCGA	VEGFA	TRUE	TH34_1445	TCGA	10.195901
TH34_1445_S02	TCGA	WEE1	TRUE	TH34_1445	TCGA	7.406503
TH34_1445_S02	TH03_TH34	WEE1	FALSE	TH34_1445	TH03_TH34	7.406503
TH34_1446_S01	TCGA	NTRK3	FALSE	TH34_1446	TCGA	4.720826
TH34_1447_S01	TCGA	HMOX1	TRUE	TH34_1447	TCGA	8.450634
TH34_1447_S01	TCGA	IGF2	TRUE	TH34_1447	TCGA	9.719064
TH34_1447_S01	TCGA	PARP2	TRUE	TH34_1447	TCGA	6.796883
TH34_1447_S02	TCGA	HMOX1	TRUE	TH34_1447	TCGA	9.618092
TH34_1447_S02	TCGA	IGF2	FALSE	TH34_1447	TCGA	10.240171
TH34_1447_S02	TCGA	PARP2	TRUE	TH34_1447	TCGA	6.359486
TH34_1452_S01	TCGA	IGF2	TRUE	TH34_1452	TCGA	10.641636
TH34_1452_S01	TCGA	PIK3R2	TRUE	TH34_1452	TCGA	7.408712
TH34_1452_S01	TH03_TH34	PIK3R2	TRUE	TH34_1452	TH03_TH34	7.408712
