gene	Sample_ID	compendium_version	rollup_cohort
KCNE3	TH34_1162_S01	v11_polya	PEDAYA_rollup
KDSR	TH34_1162_S01	v11_polya	PEDAYA_rollup
KIAA1456	TH34_1162_S01	v11_polya	PEDAYA_rollup
KMO	TH34_1162_S01	v11_polya	PEDAYA_rollup
LIPA	TH34_1162_S01	v11_polya	PEDAYA_rollup
LIPI	TH34_1162_S01	v11_polya	PEDAYA_rollup
LL21NC02-1C16.2	TH34_1162_S01	v11_polya	PEDAYA_rollup
LOXHD1	TH34_1162_S01	v11_polya	PEDAYA_rollup
MFAP5	TH34_1162_S01	v11_polya	PEDAYA_rollup
NEUROD6	TH34_1162_S01	v11_polya	PEDAYA_rollup
NKX2-2	TH34_1162_S01	v11_polya	PEDAYA_rollup
NR0B1	TH34_1162_S01	v11_polya	PEDAYA_rollup
NRD1	TH34_1162_S01	v11_polya	PEDAYA_rollup
PADI2	TH34_1162_S01	v11_polya	PEDAYA_rollup
PAX7	TH34_1162_S01	v11_polya	PEDAYA_rollup
PKP1	TH34_1162_S01	v11_polya	PEDAYA_rollup
PPP1R1A	TH34_1162_S01	v11_polya	PEDAYA_rollup
PRND	TH34_1162_S01	v11_polya	PEDAYA_rollup
PRSS35	TH34_1162_S01	v11_polya	PEDAYA_rollup
RBM11	TH34_1162_S01	v11_polya	PEDAYA_rollup
RCN3	TH34_1162_S01	v11_polya	PEDAYA_rollup
RP11-1258F18.1	TH34_1162_S01	v11_polya	PEDAYA_rollup
RP13-77O11.8	TH34_1162_S01	v11_polya	PEDAYA_rollup
SCNN1G	TH34_1162_S01	v11_polya	PEDAYA_rollup
SIGLEC1	TH34_1162_S01	v11_polya	PEDAYA_rollup
SIM2	TH34_1162_S01	v11_polya	PEDAYA_rollup
SLC17A8	TH34_1162_S01	v11_polya	PEDAYA_rollup
SLC38A4	TH34_1162_S01	v11_polya	PEDAYA_rollup
STEAP1	TH34_1162_S01	v11_polya	PEDAYA_rollup
STEAP2	TH34_1162_S01	v11_polya	PEDAYA_rollup
SYNPR	TH34_1162_S01	v11_polya	PEDAYA_rollup
TMEM91	TH34_1162_S01	v11_polya	PEDAYA_rollup
TNFAIP6	TH34_1162_S01	v11_polya	PEDAYA_rollup
TRAV1-2	TH34_1162_S01	v11_polya	PEDAYA_rollup
TSPAN8	TH34_1162_S01	v11_polya	PEDAYA_rollup
UGT3A2	TH34_1162_S01	v11_polya	PEDAYA_rollup
XAGE1A	TH34_1162_S01	v11_polya	PEDAYA_rollup
XAGE1B	TH34_1162_S01	v11_polya	PEDAYA_rollup
XG	TH34_1162_S01	v11_polya	PEDAYA_rollup
ZDHHC3	TH34_1162_S01	v11_polya	PEDAYA_rollup
AC005062.2	TH34_1163_S01	v11_polya	PEDAYA_rollup
AC079781.5	TH34_1163_S01	v11_polya	PEDAYA_rollup
AC132217.4	TH34_1163_S01	v11_polya	PEDAYA_rollup
ACTA1	TH34_1163_S01	v11_polya	PEDAYA_rollup
ACTC1	TH34_1163_S01	v11_polya	PEDAYA_rollup
ADH1C	TH34_1163_S01	v11_polya	PEDAYA_rollup
AP001065.15	TH34_1163_S01	v11_polya	PEDAYA_rollup
CA9	TH34_1163_S01	v11_polya	PEDAYA_rollup
CAPN6	TH34_1163_S01	v11_polya	PEDAYA_rollup
CASQ2	TH34_1163_S01	v11_polya	PEDAYA_rollup
CDH15	TH34_1163_S01	v11_polya	PEDAYA_rollup
CDK8	TH34_1163_S01	v11_polya	PEDAYA_rollup
CHRNA1	TH34_1163_S01	v11_polya	PEDAYA_rollup
CHRND	TH34_1163_S01	v11_polya	PEDAYA_rollup
COL26A1	TH34_1163_S01	v11_polya	PEDAYA_rollup
CRABP1	TH34_1163_S01	v11_polya	PEDAYA_rollup
CSAG1	TH34_1163_S01	v11_polya	PEDAYA_rollup
CSAG2	TH34_1163_S01	v11_polya	PEDAYA_rollup
CSAG3	TH34_1163_S01	v11_polya	PEDAYA_rollup
CTD-2545M3.8	TH34_1163_S01	v11_polya	PEDAYA_rollup
CUL4A	TH34_1163_S01	v11_polya	PEDAYA_rollup
DES	TH34_1163_S01	v11_polya	PEDAYA_rollup
DNM3OS	TH34_1163_S01	v11_polya	PEDAYA_rollup
